rider_1,rider_2,coattendance_count,tie_strength
R000079,R008226,3,0.8966544697303732
R001612,R006091,3,0.5328035950356261
R000064,R009433,3,0.6654161742187004
R003764,R007586,3,1.0282436320705928
R000579,R007942,3,2.0119801284767567
R002065,R002329,3,1.1819815764850279
R001059,R003399,5,1.7805032991539405
R004313,R008083,3,1.1916818891813523
R000471,R008053,3,0.7460529417619096
R004184,R004295,3,1.2115338358519736
R000079,R003351,3,1.5245271609649673
R001312,R007379,3,1.3162884955036982
R006921,R009193,3,0.4865004951685827
R003982,R004458,3,1.7150645522373633
R002748,R005887,3,0.9952344343248146
R000668,R009626,3,1.3632783769045598
R002750,R009901,9,5.298632398791073
R001069,R009095,3,1.2545642087720705
R000668,R006508,6,2.820860959068156
R004126,R008645,3,0.9162453967060327
R000316,R002503,4,1.1065089503977557
R001947,R008562,3,0.9233035345076462
R000574,R006951,4,0.9060850917515666
R001059,R004037,3,0.5923761586370139
R003380,R008551,5,2.6577571424778035
R000668,R000944,3,0.32620076044719515
R002056,R007544,3,1.4805684596443307
R001588,R008261,3,0.6931321109573457
R002585,R003644,3,1.3487793607466154
R004647,R006376,4,1.796573357756995
R006863,R007279,4,1.369845033249184
R008549,R008691,3,0.7828343624797292
R002582,R009852,3,1.3489397560498846
R001844,R005425,3,1.4783521236832413
R002750,R003653,3,0.8324873129957222
R000444,R001160,4,2.000555390720955
R001069,R009336,3,0.8782355086854304
R003611,R008226,15,8.242962895850802
R000119,R009404,3,0.8938688939035287
R003611,R007835,3,0.9187148104984528
R000867,R004295,21,9.758726137623048
R002503,R009794,3,0.8432890396854288
R004386,R007261,3,1.591222079056357
R004458,R006518,3,0.9612572221600109
R002154,R002750,3,0.8357327686953244
R003380,R005366,11,5.608162264579407
R001533,R005939,3,1.4528097788867704
R006830,R007415,3,0.3807752189152235
R004424,R007780,3,1.2211752126413282
R000527,R002415,13,7.12761862463919
R003480,R006507,7,3.446892211326565
R000724,R008529,3,0.36078181553695626
R001533,R006394,3,0.2824021071185294
R002044,R008316,3,1.702313743058467
R001417,R004386,3,0.6694105341767513
R001913,R005200,3,1.020364177909002
R001533,R005539,3,1.4431235643740794
R001588,R006292,3,1.0838695754250498
R002832,R006863,3,1.120652010213305
R001634,R006311,3,0.3315091840487839
R001913,R004386,5,1.9267831096397425
R004833,R005928,3,1.3381376407434786
R006704,R006909,3,0.8631436047783017
R005822,R006909,3,0.345809218459653
R008107,R009586,3,0.7492114197948786
R004295,R004712,3,0.7075756686666976
R001284,R009384,4,1.48237765393493
R006959,R008470,3,0.8123834729611594
R000527,R003380,3,0.729855222320103
R000527,R000968,3,0.623379649993229
R006909,R007662,3,1.6691483321064733
R005810,R008717,3,0.8910237333000637
R002232,R006002,4,1.9435407382159395
R004590,R006268,3,1.3037307158418683
R000172,R001105,3,0.6036090161390475
R001059,R006845,5,1.9759724304341564
R006172,R009431,3,1.5363582025114646
R001417,R009995,4,1.7744941456288672
R000574,R007896,3,0.9376853029999516
R004308,R005701,4,1.6600749803142218
R000778,R008529,3,1.2967809394989016
R002256,R006909,3,1.5632344129239601
R000061,R004253,3,0.7052538054668643
R003380,R008541,3,0.7639414733381419
R007702,R009901,3,0.47877008713947433
R003255,R003618,4,1.3924463437208991
R002354,R007178,6,2.6473981341416297
R004314,R006817,3,1.1481055352207488
R005884,R009103,3,1.9309638813129268
R005009,R009384,3,0.48092551261424765
R003603,R006570,4,2.39425511147268
R006662,R008226,3,0.4011484296278766
R000444,R008399,3,0.6198949345257023
R006947,R007895,4,1.2041949462075119
R001069,R003004,3,0.5084833449905463
R004789,R009490,3,1.4376149203658204
R001337,R009842,4,0.7882594274115323
R001246,R006292,3,1.0695959295557689
R000813,R001160,3,0.40551670882377105
R000402,R007942,3,0.40755447099253367
R004913,R009901,3,0.8000401026439454
R003004,R008388,3,1.6547026514507512
R000574,R007176,3,1.0706921009606447
R000223,R007347,3,0.7518577168303812
R003166,R007453,3,0.3301220396430838
R003658,R008698,3,1.1481055352207488
R000893,R005610,3,1.7586223165443944
R004148,R008226,5,0.6576923753908178
R006021,R008226,4,1.1514200080400128
R004590,R006058,8,4.077526850764077
R005359,R006909,12,5.256880267279403
R004245,R004386,3,0.6117132735699475
R002832,R004196,3,0.7855148711833574
R005350,R008226,3,1.513864184208197
R000668,R007947,3,0.40123122837073066
R002769,R004295,5,1.0517495880035772
R000778,R004107,3,1.0557463286745483
R003480,R007415,4,0.7761951839155048
R000002,R005915,3,0.7376793882006734
R003038,R006909,5,1.452179651683202
R002518,R004590,3,1.1795045522586678
R006921,R007303,3,0.40294736947171944
R005644,R007347,3,1.313963629186704
R002748,R005008,3,0.9192486472075199
R002929,R007345,3,2.061155518951699
R001634,R008268,3,0.9093383969512321
R001417,R004245,3,1.2655666767438152
R007345,R007379,4,1.8127181270289314
R008465,R008695,3,1.3684292863200838
R004295,R007468,3,0.9192163339701946
R006091,R008802,3,1.1026262624910916
R006503,R008264,3,1.1226645739818386
R001069,R003644,4,1.4723968861919199
R001612,R001985,4,2.2351585154923184
R006893,R008016,3,0.44410811529368094
R001588,R002354,3,0.96994257824587
R007434,R009604,3,1.1524945729567435
R001533,R006081,23,13.2771909586056
R001069,R005701,3,0.9255177639124004
R006477,R006503,8,3.6355365061535494
R002675,R002725,4,1.6350230713723497
R006671,R008131,3,1.7134915108819762
R009698,R009830,3,1.2974636176344891
R003809,R006909,3,1.1025733050512496
R005986,R007816,3,1.4762796307350203
R000573,R005089,3,0.7103190153971031
R006392,R008264,4,0.9887069592318662
R006662,R009852,3,0.3127252326336917
R001690,R008839,3,1.149998753606291
